# Known dead content media references — owner-pending, see
# scripts/check-content-media-references.sh for why this file exists.
#
# Regenerate: scripts/check-content-media-references.sh --record
# Columns: question-id <TAB> media-file <TAB> declaring-file
q-deepfake-024	rumble_asset_0317.webp	content/questions/deepfakes.yml
q-deepfake-025	rumble_asset_0318.webp	content/questions/deepfakes.yml
q-deepfake-026	rumble_asset_0319.webp	content/questions/deepfakes.yml
q-deepfake-027	rumble_asset_0320.webp	content/questions/deepfakes.yml
q-profile-001	rumble_asset_0947.svg	content/questions/profiles.yml
q-profile-002	rumble_asset_0948.svg	content/questions/profiles.yml
q-profile-003	rumble_asset_0949.svg	content/questions/profiles.yml
q-profile-004	rumble_asset_0950.svg	content/questions/profiles.yml
q-profile-005	rumble_asset_0951.svg	content/questions/profiles.yml
q-profile-006	rumble_asset_0952.svg	content/questions/profiles.yml
q-profile-007	rumble_asset_0953.svg	content/questions/profiles.yml
q-profile-008	rumble_asset_0954.svg	content/questions/profiles.yml
q-profile-009	rumble_asset_0955.svg	content/questions/profiles.yml
q-profile-010	rumble_asset_0956.svg	content/questions/profiles.yml
q-profile-011	rumble_asset_0957.svg	content/questions/profiles.yml
q-profile-012	rumble_asset_0958.svg	content/questions/profiles.yml
q-profile-013	rumble_asset_0959.svg	content/questions/profiles.yml
q-profile-014	rumble_asset_0960.svg	content/questions/profiles.yml
q-profile-015	rumble_asset_0961.svg	content/questions/profiles.yml
q-profile-016	rumble_asset_0962.svg	content/questions/profiles.yml
q-profile-017	rumble_asset_0963.svg	content/questions/profiles.yml
q-profile-018	rumble_asset_0964.svg	content/questions/profiles.yml
q-profile-019	rumble_asset_0965.svg	content/questions/profiles.yml
q-profile-020	rumble_asset_0966.svg	content/questions/profiles.yml
q-profile-021	rumble_asset_0967.svg	content/questions/profiles.yml
q-profile-022	rumble_asset_0968.svg	content/questions/profiles.yml
q-profile-023	rumble_asset_0969.svg	content/questions/profiles.yml
q-profile-024	rumble_asset_0970.svg	content/questions/profiles.yml
q-profile-025	rumble_asset_0971.svg	content/questions/profiles.yml
q-profile-026	rumble_asset_0972.svg	content/questions/profiles.yml
q-profile-027	rumble_asset_0973.svg	content/questions/profiles.yml
q-profile-028	rumble_asset_0974.svg	content/questions/profiles.yml
q-profile-029	rumble_asset_0975.svg	content/questions/profiles.yml
q-profile-030	rumble_asset_0976.svg	content/questions/profiles.yml
q-profile-031	rumble_asset_0977.svg	content/questions/profiles.yml
